singlish,english
"Last night the soccer game quite shiok, but we lose lah.","Last night's soccer game was quite enjoyable, but unfortunately, we lost."
"You all better train hard, next week got competition leh.","You all should train hard, there's a competition next week."
"Wah, the weather so hot, still want to play tennis ah?","Wow, the weather is so hot, do you still want to play tennis?"
"I heard the swimming complex crowded, go another day lah.","I heard the swimming complex is crowded, let's go another day."
"Eh, you bring extra shuttlecock for badminton or not?","Hey, did you bring extra shuttlecocks for badminton?"
"Tomorrow I cannot join you all for soccer, got something on.","I can't join you for soccer tomorrow, I have something else planned."
"You play golf very pro leh, how long you been playing?","You're very skilled at golf, how long have you been playing?"
"If rain, we postpone the netball game to next week, okay?","If it rains, we'll postpone the netball game to next week, okay?"
"Eh, you check your email already or not?","Hey, have you checked your email yet?"
I every morning first thing is check emails one.,The first thing I do every morning is to check my emails.
"Last night got people send me email, but I haven't read leh.","Someone sent me an email last night, but I haven't read it yet."
You got see the boss send the email about the meeting ah?,Did you see the email from the boss about the meeting?
"My inbox always so full, sian to check emails.","My inbox is always so full, it's tedious to check emails."
"Eh, later you free not? Help me check my email can?","Hey, are you free later? Can you help me check my email?"
"I think I kena spam, my email got a lot of weird messages.",I think I've been spammed; my email has a lot of weird messages.
You know how to set the out of office reply for email anot?,Do you know how to set the out-of-office reply for email?
"Wah, this email so long, read until I also tired.","Wow, this email is so long, I'm tired just from reading it."
"I yesterday already reply to your email, you didn't receive meh?","I replied to your email yesterday, didn't you receive it?"
"Eh, later we go playground play with the kids, can?","Hey, shall we go to the playground later to play with the children?"
"Don't run here run there, later fall down how?",Don't run around; what if you fall?
"Wah, the way you play catching with the kids quite pro leh.","Wow, you're quite good at playing tag with the children."
"You all better slow down, play until so sweaty already.",You all should slow down; you're getting very sweaty from playing.
"Eh, don't so rough when playing with the smaller kids, ok?","Hey, don't be so rough when playing with the younger children, okay?"
Last time I also always play hide-and-seek at this void deck.,I used to play hide-and-seek at this void deck when I was younger.
"Aiya, he always like that one, say want to play but end up never join.","Oh well, he's always like that, says he wants to play but ends up not joining."
"You see the kids play soccer, their teamwork not bad hor?","Do you see the children playing soccer? Their teamwork is quite good, isn't it?"
"Next time we bring more balls, so everyone can play together.","Next time, let's bring more balls so that everyone can play together."
"Eh, make sure you all drink water, play until so thirsty.","Hey, make sure you drink water; you must be very thirsty from playing."
"Eh, later you want to watch movie not?","Hey, do you want to watch a movie later?"
The movie yesterday quite nice hor?,"The movie we saw yesterday was quite good, wasn't it?"
"I heard the new action movie very power, confirm plus chop you will like one.","I've heard that the new action movie is very impressive, I'm certain that you will like it."
"Wah, the cinema today so packed, lucky we chope seats early.","Wow, the cinema is so crowded today, luckily we reserved seats early."
"Last time the movie cheaper leh, now the price up already.","Movies used to be cheaper, the price has gone up now."
You all want to eat popcorn or not while watching?,Do you all want to eat popcorn while watching the movie?
"Eh, don't talk so loud lah, later people stare leh.","Hey, don't talk so loudly, people might start staring at us."
This horror movie confirm will scare you until you jump from your seat one.,This horror movie will definitely scare you to the point of jumping out of your seat.
"I think we watch the 9pm show can already, still got time to makan first.","I think we can watch the 9pm show, we still have time to eat first."
"Next week got new movie release, you jio your friends we go watch together can?","There's a new movie release next week, can you invite your friends and we can all watch it together?"
"Eh, later we go your house play board games can?","Hey, can we go to your house to play board games later?"
"Wah, you really good at this game leh!","Wow, you are really good at this game!"
"Don't like that lah, give chance a bit.","Don't be like that, please be a bit more lenient."
"I think he anyhow play only, not following rules one.",I think he's just playing randomly and not following the rules.
Last round who win ah?,Who won the last round?
"Eh, you shuffle the cards already or not?","Hey, have you shuffled the cards yet?"
"Next time we jio more people come play together, okay?","Next time, let's invite more people to play together, okay?"
"Wah lau, why you always sabo me one?","Oh man, why do you always sabotage me?"
"Eh, faster play lah, why so slow?","Hey, play faster, why are you so slow?"
You all want to play another game or not?,Do you all want to play another game?
"Eh, you bring extra pen anot? Later my one run out of ink how?","Hey, did you bring an extra pen? What if mine runs out of ink?"
"Tomorrow got quiz, you study already or not?","There's a quiz tomorrow, have you studied for it yet?"
"Wah, the math homework so difficult, I do until sian half.","Wow, the math homework is so difficult, I'm getting frustrated with it."
"Oi, later after school want to go makan together?","Hey, do you want to go eat together after school?"
"You better pay attention in class, if not later you blur during exams.","You should pay attention in class, otherwise you'll be confused during the exams."
"Eh, you know the teacher say what just now? I never catch what she talking about leh.","Hey, do you know what the teacher said just now? I didn't catch what she was talking about."
"Wah lau, the canteen today so packed, we queue so long for food.","Oh man, the canteen is so crowded today, we had to queue for so long to get food."
You all want to study together for the test or not?,Do you all want to study together for the test?
"Tomorrow I cannot come school, got family thing to do.","I can't come to school tomorrow, I have a family commitment."
"Eh, the teacher ask us to submit the project by next week, you heard anot?","Hey, the teacher asked us to submit the project by next week, did you hear that?"
"Eh, later you want to go gym anot?","Hey, do you want to go to the gym later?"
I every week go gym two times one leh.,I go to the gym twice a week.
"The gym sibei crowded today, wait long long also cannot use the treadmill.","The gym is extremely crowded today, I had to wait a very long time to use the treadmill."
You join which gym? Cheap or not?,Which gym did you join? Is it affordable?
"Wah, the new gym open liao, the equipment all still quite new!","Wow, the new gym has opened, and all the equipment is still quite new!"
"I see you quite shag, today still going gym ah?","You look quite tired, are you still going to the gym today?"
"My gym buddy last minute pang seh me, now I solo go gym.","My gym buddy bailed on me at the last minute, now I have to go to the gym alone."
"Eh, you know bo? The gym got offer now, first month free leh.","Hey, do you know? The gym has an offer now, the first month is free."
"I think I need to start go gym liao, lately eat too much already.","I think I need to start going to the gym, I've been eating too much lately."
"Tomorrow I cannot go gym with you, I got something on.","I can't go to the gym with you tomorrow, I have something else planned."
"Eh, you know how to play guitar or not?","Hey, do you know how to play the guitar?"
"Last time I play piano, now quite rusty already.","I used to play the piano, but I'm quite rusty now."
"My brother every day also practice, sibei hardworking one.",My brother practices every day; he's extremely hardworking.
"Wah, you play until so good, can teach me anot?","Wow, you play so well, can you teach me?"
"I thinking of joining the school band, but scared no time leh.","I'm thinking of joining the school band, but I'm afraid I might not have enough time."
"She everytime play violin, sure kena scold by her mother one.","Every time she plays the violin, she's sure to be scolded by her mother."
You see the drummer at the concert last night? Power sia!,Did you see the drummer at the concert last night? He was amazing!
"I hear you can play ukulele, true or not?","I heard you can play the ukulele, is that true?"
"Next week got performance, but I still haven't practice enough.","There's a performance next week, but I still haven't practiced enough."
"My sister's flute playing really can make it, win competition some more.",My sister's flute playing is really good; she even won a competition.
"Eh, later we go karaoke, can?","Hey, shall we go to karaoke later?"
"I tell you ah, her singing really power one.","I'm telling you, her singing is really impressive."
"Last time I sing at the competition, I so kancheong you know?","When I sang at the competition previously, I was so nervous, you know?"
"Wah, you hear him sing not? Like professional sia.","Wow, have you heard him sing? He sounds like a professional."
"My brother, every night sing in the shower until I cannot tahan.",My brother sings in the shower every night to the point that I can't stand it.
"She always sing those oldies one, very nice leh.","She always sings those old songs, they're very nice."
"Eh, you join the choir already ah? Good lor, can improve your singing.","Hey, have you joined the choir? That's good, it can improve your singing."
"Last night at the KTV, we sing until so late, today sure pang seh work one.","Last night at the karaoke, we sang until so late, I'm sure to skip work today."
You think you sing very well is it? Go audition for Singapore Idol lah!,Do you think you sing very well? You should audition for Singapore Idol!
"My voice not good lah, sing liao sure make people run away one.","My voice isn't good; if I sing, I'm sure to drive people away."
"Eh, you go Zouk last night dance until so late ah?","Hey, did you go to Zouk last night and dance until very late?"
"Last time I dance, I always step on people's foot one.","In the past when I danced, I would always step on people's feet."
You see that guy? His dancing really power sia.,Do you see that guy? His dancing is really impressive.
"Wah, the way she move, confirm can win the dance competition one.","Wow, the way she moves, she can definitely win the dance competition."
"I shy lah, where got people want to see me dance.","I'm shy, no one would want to see me dance."
"Eh, next week got salsa class, you interested not?","Hey, there's a salsa class next week, are you interested?"
My mother say last time she dance disco until very jialat.,My mother said that in the past she used to dance disco very intensely.
"You join the dance club already ah? Good leh, can make new friends.","Have you joined the dance club? That's good, you can make new friends."
"I watch the dance show on TV, then I also feel like dancing.","After watching the dance show on TV, I also feel like dancing."
"This Saturday got hip hop dance workshop, you want to go try?","There's a hip hop dance workshop this Saturday, do you want to try it?"
"Eh, you finish writing your essay already anot?","Hey, have you finished writing your essay yet?"
"Last night I stay up late to write, now damn shag leh.","I stayed up late to write last night, and now I'm really tired."
"My teacher say my writing improve a lot, quite happy sia.","My teacher said my writing has improved a lot, I'm quite happy about it."
"I think I need to go library, find some books to help with my writing.",I think I need to go to the library to find some books to help with my writing.
"Wah, this author's writing style is solid, I want to learn a few things from him lor.","Wow, this author's writing style is excellent; I want to learn a few things from him."
You check through your work already? Got a lot of grammar mistakes leh.,Have you checked through your work? There are quite a few grammatical errors.
"I see you always writing at the kopitiam, very focused hor?","I see you're always writing at the coffee shop, you're very focused, aren't you?"
"Eh, later you free to help me with my writing not?","Hey, are you free to help me with my writing later?"
"My brother, he write until very late every night, very hardworking one.",My brother writes until very late every night; he's very hardworking.
"If you want to write good, you must read more, then slowly your writing will improve one.","If you want to write well, you must read more, and then gradually your writing will improve."
"Eh, you got bring your camera anot? Later we go shoot sunset leh.","Hey, did you bring your camera? We're going to shoot the sunset later."
"Wah, this lens very ex sia, but the quality solid one.","Wow, this lens is quite expensive, but the quality is really good."
"Last time I go holiday, I forgot to charge my camera battery, sian half.","During my last holiday, I forgot to charge my camera battery, which was quite frustrating."
"My friend say he can teach me photography, but don't know he zai anot.","My friend said he could teach me photography, but I'm not sure if he's skilled at it."
"If you want take nice photo, you must learn how to use the rule of thirds hor.","If you want to take a nice photo, you must learn how to use the rule of thirds."
"I just bought a new tripod, steady pom pi pi one.",I just bought a new tripod; it's very stable and reliable.
You see the photo I took yesterday? The lighting damn swee right?,"Did you see the photo I took yesterday? The lighting was really beautiful, wasn't it?"
"I think I need to go clean my sensor already, got some dust inside.",I think I need to clean my sensor; there's some dust inside.
Next time we go shoot together can? I want to learn from you leh.,Can we go out to shoot together next time? I want to learn from you.
"Aiyah, yesterday the weather not good, so my outdoor shoot cannot make it.","Unfortunately, the weather wasn't good yesterday, so my outdoor shoot didn't go well."
"Eh, later we go Orchard Road can?","Hey, can we go to Orchard Road later?"
"The MRT so packed, sian half.","The MRT is so crowded, it's really tiresome."
"Wah, the hotel room quite shiok ah!","Wow, the hotel room is really nice!"
"Tomorrow wake up early, we catch sunrise at Marina Bay.",Let's wake up early tomorrow to catch the sunrise at Marina Bay.
You bring enough cash or not? Later not enough how?,Did you bring enough cash? What if it's not enough later?
"Eh, you know which bus go Sentosa or not?","Hey, do you know which bus goes to Sentosa?"
"Jialat, I think I drop my EZ-Link card somewhere.","Oh no, I think I've dropped my EZ-Link card somewhere."
"We go hawker centre eat better, outside food expensive leh.","It's better to eat at the hawker centre, food outside is expensive."
Tonight got Night Safari not? I heard quite fun one.,Is there a Night Safari tonight? I've heard it's quite fun.
"Eh, later if rain how? Still want to go Gardens by the Bay?","Hey, what if it rains later? Do you still want to go to Gardens by the Bay?"
"Eh, later I come your house visit you can?","Hey, is it okay if I come over to visit you later?"
"I bring some kueh over for tea time, nice or not?","I'll bring some pastries over for tea time, does that sound good?"
"Long time no see, we should catch up soon.","It's been a while, we should get together and catch up soon."
Your place still at the same block ah?,Is your place still in the same block?
"I heard you moved house, how's the new place?","I heard you've moved, how's the new house?"
Can I park my car at your condo visitor lot?,May I park my car in the visitor parking at your condominium?
"Last time I visit you, your dog very friendly one.","The last time I visited, your dog was very friendly."
"I finish work already, I come over now can?","I've finished work, can I come over now?"
"We meet at your place then go makan outside, how?",Shall we meet at your place and then go out to eat?
"I jio some other friends also, the more the merrier right?","I've invited some other friends as well, the more the merrier, right?"
"Eh, you going to that concert or not?","Hey, are you going to the concert?"
"Last time I go event, the queue sibeh long leh.","The last time I went to an event, the queue was incredibly long."
You never jio me go to the exhibition sia.,You didn't invite me to go to the exhibition.
"The workshop quite interesting, I think you should join lor.",The workshop is quite interesting; I think you should join.
"If rain, how? Still on or not?","If it rains, what will happen? Is it still on?"
"Wah, the food at the gala dinner damn good ah!","Wow, the food at the gala dinner was really good!"
I heard the festival this year got a lot of good stuff leh.,I heard that this year's festival has a lot of good things.
"You better chop place for us at the parade, later no seat then you know.","You better save seats for us at the parade, or else we might end up without any."
"Oi, faster decide leh, tickets selling out soon.","Hey, make a decision quickly, the tickets are selling out soon."
This weekend you free not? Got free outdoor concert at the park.,Are you free this weekend? There's a free outdoor concert at the park.
"Eh, you free not? Help me volunteer at the old folks' home lah.","Hey, are you free? Help me volunteer at the nursing home, please."
"Last time I join the beach cleanup, quite shiok because can help the environment.",I enjoyed participating in the beach cleanup last time because it was nice to help the environment.
"If you never try volunteering before, you should lah, very meaningful one.","If you've never tried volunteering, you should; it's very meaningful."
"This weekend I cannot leh, got volunteering at the community centre.",I'm not available this weekend; I have volunteering commitments at the community center.
"You think volunteering is sian is it? Actually not leh, quite fun one.","Do you think volunteering is boring? Actually, it's not; it can be quite fun."
"My friend ask me go volunteer together, but I paiseh, never do before.","My friend invited me to volunteer together, but I feel shy because I've never done it before."
"Volunteer can make new friends, not bad hor?","Volunteering can help you make new friends, not bad, right?"
"I every month will volunteer a bit, good for the soul mah.",I volunteer monthly; it's good for the soul.
You join the soup kitchen volunteering anot? I heard quite rewarding leh.,Are you participating in the soup kitchen volunteering? I heard it's quite rewarding.
"Aiya, next time then join you all volunteer lah, this week quite packed.","Oh well, I'll join you for volunteering next time; this week is quite busy for me."
"Eh, later got meeting ah?","Hey, do we have a meeting later?"
Can make it on time or not?,Can you make it on time?
"The meeting room very cold one leh, better bring jacket.","The meeting room is usually very cold, it's better to bring a jacket."
Boss say the meeting confirm plus chop start at 3pm.,The boss confirmed that the meeting will definitely start at 3pm.
"I heard the meeting gonna drag, eat first better.","I heard the meeting is going to be long, we should eat first."
"Wah, the meeting just now really can make people sleep sia.","Wow, the meeting we had just now was really boring, it could put people to sleep."
"Next week got another meeting, this time you present can?","We have another meeting next week, can you do the presentation this time?"
"Eh, you all remember to send me your part before the meeting hor.","Hey, remember to send me your part before the meeting, okay?"
"The meeting end already, we go makan where?","The meeting has ended, where shall we go to eat?"
"Aiyah, the meeting clash with my appointment leh, how?","Oh no, the meeting clashes with my appointment, what should I do?"
"Wah lao, MRT again delay sia.","Oh man, the train is delayed again."
You don't anyhow touch can or not?,Can you please not touch things randomly?
"I hungry liao, want go makan anot?","I'm hungry already, want to go eat or not?"
"Aiyo, she cry until like that, very jialat leh.","Oh dear, she cried so badly, it's serious."
"Why you so kaypoh, not your problem what.",Why are you so nosy? It's not your problem.
"You say you come, then never show up. Sian lah.","You said you'd come, then didn't show up. That's disappointing."
Don't blur like sotong leh.,Don't be so clueless.
"Can faster do or not, I rushing leh.",Can you do it faster? I'm in a rush.
Just now boss scold me until I kena stunned.,Just now the boss scolded me so bad I was stunned.
You never bring charger ah? Jialat liao.,You didn't bring a charger? That's bad.
"Don't like that lah, give chance can or not?","Don't be like that, can you give me a chance?"
I study whole night still cannot remember lor.,I studied all night but still can't remember.
"Bo jio again ah, next time you better call me.","You didn't invite me again? Next time, you better let me know."
"He one kind leh, always act funny funny.","He's weird, always acting strange."
"You see the price, cheap until I shocked.",You saw the price? It was so cheap I was shocked.
This one confirm spoil already lah.,This is definitely spoiled already.
"You late again ah, every time like that one.",You're late again? You're always like that.
Got free food then you come. Typical lah.,You only come when there's free food. Typical.
That stall's chicken rice power sia.,That chicken rice from the stall is really good.
Don't tok cock can or not? Serious now.,Can you stop talking nonsense? I'm serious.
He kena caught stealing again leh.,He got caught stealing again.
I kena stuck in jam one hour sia.,I was stuck in traffic for one hour.
"You better study hard, later regret also no use.","You better study hard, or it'll be too late to regret."
"He no give up one, keep trying again and again.","He doesn't give up, keeps trying repeatedly."
"Later rain, you never bring umbrella confirm die.",It's going to rain later. You didn't bring an umbrella? You're doomed.
"Don't be so extra lah, chill can or not.","Don't be so dramatic, can you relax?"
"Teacher ask one simple question, I blur like sotong.",Teacher asked a simple question and I was totally clueless.
"My phone battery dying liao, need power bank.","My phone battery is dying, I need a power bank."
"She always gossip behind people's back, not nice lor.",She always gossips behind others' backs. That's not nice.
You hungry or not? Got food downstairs.,Are you hungry? There's food downstairs.
"Alamak, I forget bring wallet!","Oh no, I forgot to bring my wallet!"
"Don't eat too fast, later stomach pain leh.",Don't eat too fast or you'll get a stomachache.
"He damn action, like he very big shot like that.",He acts like he's really important.
"You wait here first lah, I go buy drinks.","Wait here first, I'll go buy drinks."
"That guy always slack one, never do work.","That guy always slacks off, never does his work."
You better don't test my patience ah.,You better not test my patience.
"Later got party, you coming or not?",There's a party later — are you coming?
"She dress until so nice today, must be got date.",She dressed up so nicely today — must be going on a date.
"I kena flu, now whole day feel like crap.","I caught the flu, now I feel terrible all day."
You think easy ah? Not so simple lor.,You think it's easy? It's not that simple.
"My mum cook today, come my house eat lah.",My mum's cooking today. Come over and eat.
Why you always so last minute one?,Why are you always so last minute?
This kind of thing you also scared meh?,You're even afraid of something like this?
"He walk in like boss, wah so act sia.",He walked in like a boss — so arrogant.
Can settle later anot? Now very busy lah.,Can we settle this later? I'm really busy now.
"You go toilet so long, what you doing sia?",You were in the toilet for so long — what were you doing?
"I very broke this month, cannot go out liao.",I'm really broke this month — can't go out anymore.
"Weather so hot, I sweat like mad.","The weather's so hot, I'm sweating like crazy."
"She so fierce, scold me for nothing.","She's so fierce, scolded me for no reason."
You so free ah? Go help your mother lah.,You're so free? Go help your mum then.
His driving really cannot make it.,His driving is really bad.
"I tell you already, you still don't listen lor.","I already told you, but you still didn't listen."
You all better don't mess with him.,You all better not mess with him.
Want go jalan jalan later anot?,Want to go for a walk later?
"She hor, every time like to show off.",She always likes to show off.
Eat so much already still want dessert ah?,You've already eaten so much and still want dessert?
Why your room always so messy one?,Why is your room always so messy?
This one confirm kena complain one lah.,This will definitely get complaints.
He don't know how to use phone meh?,Doesn't he know how to use a phone?
I wait for you until neck long already.,I waited so long for you!
This meeting drag until sian already.,This meeting dragged on until I was so bored.
She wear until like going fashion show like that.,She's dressed like she's going to a fashion show.
"You all don't fight lah, small thing only.","Don't fight, it's just a small matter."
"That guy lagi best, come late still complain.",That guy is the worst — comes late and still complains.
"I see the queue, confirm not worth it.",I saw the queue — definitely not worth waiting.
Why your handwriting like chicken scratch?,Why is your handwriting so messy?
This kopi peng really solid.,This iced coffee is really good.
"You steady lah, always help me when I need.","You're dependable, always helping me when I need it."
She say she tired but whole day play phone.,She says she's tired but spends all day on her phone.
"Got new bubble tea shop open, we go try.",There's a new bubble tea shop — let's go try it.
Don't so kan cheong can? Relax a bit lah.,"Don't be so anxious, just relax."
He make noise until cannot think sia.,He made so much noise I couldn't even think.
"Go hawker centre eat better, cheaper also.",It's better to eat at the hawker centre — cheaper too.
I late today because bus never come.,I was late today because the bus didn't show up.
This guy always act blur when got work.,This guy always pretends not to know when there's work.
You better apologize before she angry.,You better apologize before she gets angry.
"I no mood today, don't disturb me.","I'm not in the mood today, don't disturb me."
You want go where later?,Where do you want to go later?
"Just tahan a bit more lah, almost done.","Just endure a bit more, almost done."
"She so naggy, everyday repeat same thing.","She's so naggy, says the same thing every day."
Why you wear like that? Later cold how?,Why are you dressed like that? What if it gets cold?
"You all go ahead, I too lazy liao.","You all go ahead, I'm too lazy now."
Just now that aunty cut queue leh.,That lady cut the queue just now.
He say what also I don't believe liao.,"Whatever he says now, I don't believe anymore."
Why you always forget things?,Why do you always forget things?
"This TV show damn nice, you should watch.",This TV show is really good — you should watch it.
You want kopi or teh?,Do you want coffee or tea?
I kena food poisoning last night.,I got food poisoning last night.
"He never reply my message, so rude.",He didn't reply to my message — so rude.
"Better be careful, later kena fine.",Better be careful or you'll get fined.
"You ah, always waste money one.",You always waste money.
How can like that one?,How can it be like that?
Later we go Orchard walk walk lah.,Let's go walk around Orchard later.
"This one I do already, your turn.",I've done this already — now it's your turn.
"She confirm angry liao, you better go explain.",She's definitely angry already — you better go explain.
"You better remember hor, don't forget again.",You better remember — don't forget again.
"Every time ask you to help, you disappear.","Every time I ask you to help, you disappear."
You talk so loud for what?,Why are you talking so loudly?
"Eat first lah, then we see how.","Let's eat first, then figure things out."
"This place really ulu, nothing around.",This place is so remote — there's nothing nearby.
"She hor, always act cute one.",She always tries to act cute.
"He talk until like big boss, but do nothing.",He talks like he's a big boss but does nothing.
Can settle this nicely anot?,Can we settle this nicely?
You never bring wallet again ah?,You forgot your wallet again?
"I no energy already, whole day so tired.",I've got no energy left — it's been a tiring day.
"Just chill lah, later only do.",Just relax — we can do it later.
"Don't be like that leh, I just asking only.","Don't be like that, I was just asking."
"She keep complain, but never do anything.",She keeps complaining but doesn't do anything.
You got bring your IC anot? Later need.,Did you bring your ID? You'll need it later.
"Wait for me lah, I walking there now.",Wait for me — I'm walking there now.
"This one last time I see already, repeat show lah.",I've seen this before — it's a repeat.
Don't say I never warn you ah.,Don't say I didn't warn you.
"You so stubborn, cannot talk to you one.","You're so stubborn, I can't reason with you."
"I call you many times liao, why never pick up?","I've called you so many times, why didn't you answer?"
"His phone damn chio, where he buy ah?","His phone is so nice, where did he buy it?"
"I tell you something, don't go and spread hor.",I'm telling you something — don't go telling others.
Why you walk so slow one?,Why are you walking so slowly?
She talk until my ear pain sia.,She talks so much it hurts my ears.
Later you kena caught then you know.,You'll only realise after you get caught.
"You still owe me kopi, don't forget hor.","You still owe me coffee, don't forget."
"Don't just sit there, help out a bit lah.",Don't just sit around — help out a little.
You think everything so easy meh?,You think everything is so easy?
"He blur blur one, don't trust him to handle.",He's always clueless — don't trust him with it.
This assignment I chiong all night to finish.,I rushed all night to finish this assignment.
"You better check again, later got mistake.",You better double-check — there might be a mistake.
You say what again? Repeat can?,What did you say again? Can you repeat?
"Now already very late, better go home.",It's already very late — better head home.
She wear that dress until so tight leh.,She's wearing that dress and it's so tight!
"Don't eat here lah, go home eat better.",Don't eat here — better to eat at home.
"Today I mood not good, don't talk to me.",I'm not in a good mood today — don't talk to me.
"That guy think he very clever, talk so much.",That guy thinks he's so clever — talks too much.
"I shy lah, don't want say in front of everyone.",I'm shy — I don't want to speak in front of everyone.
"Better go now lah, later jam.",Better leave now or there'll be a traffic jam later.
"You all hor, always make so much noise.",You all always make so much noise.
She kena scold until cry sia.,She got scolded so badly she cried.
Your maths how come like that one?,Why is your maths like that?
He come here do what? Got nothing to do.,Why did he come here? He's got nothing to do.
You never see the message meh?,Didn't you see the message?
Don't look at me like that can or not.,Can you not look at me like that?
"Tomorrow got test, you study already anot?",There's a test tomorrow — have you studied?
"This thing don't touch, fragile.",Don't touch this — it's fragile.
"I go toilet first, wait for me.",I'm going to the toilet first — wait for me.
You all always late one.,You're always late.
Her hairstyle today a bit weird leh.,Her hairstyle looks a bit weird today.
"He say want help, end up disappear.",He said he'd help but ended up disappearing.
"Today boss in bad mood, better don't go near.",The boss is in a bad mood today — better stay away.
Later go eat Korean food want anot?,Do you want to eat Korean food later?
You again forget your keys ah?,You forgot your keys again?
"She every time late, already used to it.",She's always late — I'm used to it.
Just now I saw him at the mall leh.,I just saw him at the mall earlier.
I can smell the food from outside already.,I can already smell the food from outside.
"Don't disturb me lah, I concentrating.",Don't disturb me — I'm trying to concentrate.
You all got bring your own drinks anot?,Did you all bring your own drinks?
"I also don't know what happen, suddenly like that.",I don't know what happened — it was so sudden.
"Your bag so heavy, what you put inside?",Your bag is so heavy — what's inside?
"Now so late already, go home lah.",It's so late already — go home.
"You see his face, already know he guilty.",You can tell he's guilty just by looking at his face.
"Your cat so fat already, eat too much ah?",Your cat's gotten so fat — did it eat too much?
"Every time I do everything, you just slack.",I always do everything while you slack off.
He go gym but still look the same leh.,He goes to the gym but still looks the same.
"Your English not bad leh, improved a lot.",Your English isn't bad — improved quite a bit.
"I last warning you liao, next time no more chance.",This is your last warning — no more chances next time.
"Just close one eye lah, small matter only.",Just overlook it — it's a small matter.
"She suddenly disappear, never say anything.",She suddenly disappeared without saying anything.
That kopi uncle very friendly one.,The coffee shop uncle is very friendly.
"Your shoe spoil already, go buy new one lah.",Your shoe is worn out — go buy a new one.
"Today very tired sia, want sleep early.",I'm really tired today — want to sleep early.
"Don't make noise, library leh.",Don't make noise — we're in the library.
"I call taxi already, wait outside.",I've called the taxi — wait outside.
Later meeting confirm drag one.,The meeting will definitely drag on later.
You help me buy lunch can? I busy.,Can you help me buy lunch? I'm busy.
"She complain say too spicy, but still eat.",She said it was too spicy but still ate it.
"You think too much lah, not so serious.",You're overthinking — it's not that serious.
Just press this button can already.,Just press this button — that's all.
She hair dye until like rainbow sia.,She dyed her hair like a rainbow!
You all got hear what teacher say anot?,Did you all hear what the teacher said?
"Next time I drive, your driving too scary.",Next time I'll drive — your driving is too scary.
That kid run everywhere like monkey.,That kid is running around like a monkey.
"You stay here lah, I go check.",You stay here — I'll go check.
"This plate so hot, burn my hand sia.",This plate is so hot — I burned my hand.
You sure or not? Sounds fake leh.,Are you sure? It sounds fake.
"My stomach got sound already, time to eat.",My stomach's growling — time to eat.
"Don't throw rubbish here lah, got bin there.",Don't throw rubbish here — there's a bin over there.
You just now go where? Suddenly disappear.,Where did you go just now? You disappeared.
Later I bring you go try that stall.,I'll take you to try that stall later.
"She very sensitive one, you better be careful.",She's very sensitive — better be careful with her.
"Don't take so long lah, everybody waiting.",Don't take so long — everyone is waiting.
"You everyday sleep late, not good lah.",You sleep late every day — that's not good.
"That one is not yours leh, don't touch.",That's not yours — don't touch it.
He no money but still want buy expensive things.,He has no money but still wants to buy expensive stuff.
Why your face like that? Something happen ah?,Why do you look like that? Did something happen?
You want ice cream anot? Got discount now.,Do you want ice cream? There's a discount now.
"I just finish work only, super tired.",I just finished work — I'm super tired.
"This pen cannot use already, dry liao.",This pen doesn't work anymore — it's dry.
"She so good at drawing, confirm artist.",She's so good at drawing — definitely an artist.
Your parents not home ah? House so quiet.,Are your parents not home? The house is so quiet.
"Later we go watch movie, you book ticket.",Let's go watch a movie later — you book the tickets.
"Don't put too much chilli lah, I cannot tahan.",Don't put too much chilli — I can't take it.
Your shirt wear wrong side leh.,You're wearing your shirt inside out.
"He always never listen, that's why always kena.",He never listens — that's why he always gets into trouble.
He still using that old phone ah?,He's still using that old phone?
Later I message you when I reach.,I'll message you when I arrive later.
Why your face so black? Got problem ah?,Why do you look so grumpy? Is something wrong?
You all talk so loud until whole place can hear.,You're talking so loudly the whole place can hear you.
She eat like never eat for days sia.,She's eating like she hasn't eaten in days.
"Today weather so shiok, best for sleeping.",The weather today is so nice — perfect for sleeping.
You every time complain but never change.,You always complain but never change.
"He suddenly ghost me, never reply anymore.",He suddenly stopped talking to me — no replies at all.
"Don't drink so much lah, later cannot walk.",Don't drink so much — you won't be able to walk later.
"Better bring jacket, cinema always cold.",You better bring a jacket — the cinema is always cold.
Your face look like kena scolded just now.,You look like you got scolded just now.
"Every morning same thing, jam like crazy.",It's the same every morning — traffic jam like mad.
"I only bring $5, can buy what sia?",I only brought $5 — what can I even buy?
"Don't use that tone lah, sound very rude.",Don't use that tone — it sounds very rude.
Why you like to exaggerate so much?,Why do you exaggerate so much?
"Later I call you back lah, now not convenient.",I'll call you back later — it's not convenient now.
"Her bag so big, like going holiday.",Her bag is so big — looks like she's going on holiday.
Don't always rely on me leh.,Don't always depend on me.
"That kid so naughty, run everywhere.",That child is so naughty — running everywhere.
You wash hand anot before eat?,Did you wash your hands before eating?
Why you suddenly disappear for two weeks?,Why did you suddenly disappear for two weeks?
"This kopi too sweet, diabetic sia.",This coffee is too sweet — it's like diabetes in a cup.
She put makeup until cannot recognise.,She put on so much makeup she's unrecognisable.
You want take MRT or bus?,Do you want to take the MRT or the bus?
His attitude really cannot tahan.,His attitude is really unbearable.
You go there then never tell anyone.,You went there without telling anyone.
I forgot what I wanted to say already.,I already forgot what I was going to say.
"You lucky lah, never kena caught.",You're lucky — you didn't get caught.
