" singlish"," english"
Huh? You guys finish without me? I thought we started together lah.,Huh? You guys finished without me? I thought we were starting together.
"Boss say he cut bonus this year, then gloom settle over everyone.",The boss said he's cutting bonuses this year; then gloom settled over everyone.
"I worry this storm will knock out power, candles must standby leh.",I'm worried this storm will knock out power; must keep candles ready.
"Okay lah, done for the day, go home and chillax.","Alright, done for the day; go home and chill."
"Wah, my kid scored A for exam, I damn proud lah.","Wow, my child scored an A in the exam; I'm really proud."
"The event location changed last minute, then we scramble and still late.",The event location changed at the last minute; then we scrambled and were still late.
"I feel like walking through history at Fort Canning, quite introspective leh.",I feel like walking through history at Fort Canning; quite introspective.
"My car alarm started beeping at 3 am, then I wake up in panic.",My car alarm started beeping at 3 am; I woke up in panic.
"Let's just makan supper, talk until late, then tomorrow worry about it lah.","Let's just eat supper, talk until late; then we'll worry about it tomorrow."
"Wah, the fireworks finale blew my mind, totally surprise and wow.","Wow, the fireworks finale blew my mind; totally surprising and wow."
"We finally settle the renovation, house look so neat now — raining praise.",We finally finished the renovation; house looks so neat now — getting lots of praise.
"My flight delay plus baggage lost, worst travel day ever lah.",My flight was delayed plus my baggage got lost; worst travel day ever.
I fear my tastebuds gone jaded after eating same hawker food every week.,I fear my taste buds have gone dull after eating the same hawker food every week.
"The neighbour's dog bark all night, then I kena zombie mode next day.",The neighbour's dog barked all night; then I got into zombie mode the next day.
"Just lie down and stare at ceiling, brain full of ideas but lazy to move lah.",Just lie down and stare at the ceiling; brain full of ideas but too lazy to move.
